id,images,thumbnails,prices
224517,https://d2qg6c07ydxh2f.cloudfront.net/items/29/img_25329_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/29/img_25329_THUMBNAIL.png,68.48
342942,https://d2qg6c07ydxh2f.cloudfront.net/items/49/img_40549_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/49/img_40549_THUMBNAIL.png,64.97
161936,https://d2qg6c07ydxh2f.cloudfront.net/items/60/img_13360_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/60/img_13360_THUMBNAIL.png,84.99
174430,https://d2qg6c07ydxh2f.cloudfront.net/items/50/img_19450_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/50/img_19450_THUMBNAIL.png,247.43
397598,https://d2qg6c07ydxh2f.cloudfront.net/items/15/img_45415_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/15/img_45415_THUMBNAIL.png,65
316554,https://d2qg6c07ydxh2f.cloudfront.net/items/37/img_37337_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/37/img_37337_THUMBNAIL.png,54.980000000000004
233078,https://d2qg6c07ydxh2f.cloudfront.net/items/16/img_21516_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/16/img_21516_THUMBNAIL.png,139.99
115746,https://d2qg6c07ydxh2f.cloudfront.net/items/0/img_1200_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/0/img_1200_THUMBNAIL.png,89.97
167791,https://d2qg6c07ydxh2f.cloudfront.net/items/55/img_15555_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/55/img_15555_THUMBNAIL.png,64.47
187645,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_16731_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_16731_THUMBNAIL.png,95.99
162886,https://d2qg6c07ydxh2f.cloudfront.net/items/92/img_20392_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/92/img_20392_THUMBNAIL.png,69.98
291457,https://d2qg6c07ydxh2f.cloudfront.net/items/99/img_35399_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/99/img_35399_THUMBNAIL.png,49.99
220308,https://d2qg6c07ydxh2f.cloudfront.net/items/22/img_21522_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/22/img_21522_THUMBNAIL.png,79.97
